Date,Sales,Marketing_Spend,Customers
2022-01-01,1216.76,190.18,404
2022-02-01,1273.77,183.51,432
2022-03-01,1445.49,189.34,467
2022-04-01,1457.73,196.97,462
2022-05-01,1262.97,168.14,470
2022-06-01,1269.41,187.7,483
2022-07-01,1339.03,187.94,452
2022-08-01,1305.58,187.92,453
2022-09-01,1292.8,195.87,426
2022-10-01,1211.08,224.92,437
2022-11-01,1308.15,192.01,438
2022-12-01,1375.81,222.02,464
2023-01-01,1467.63,184.76,502
2023-02-01,1656.97,207.48,495
2023-03-01,1693.93,217.44,540
2023-04-01,1622.74,226.29,548
2023-05-01,1654.55,230.67,539
2023-06-01,1552.29,234.4,522
2023-07-01,1644.31,219.77,529
2023-08-01,1584.23,220.56,510
2023-09-01,1547.56,242.87,512
2023-10-01,1484.55,229.63,511
2023-11-01,1591.03,215.86,541
2023-12-01,1588.53,220.5,538
2024-01-01,1704.44,226.21,552
2024-02-01,1839.6,249.96,590
2024-03-01,1961.49,247.14,609
2024-04-01,1954.1,257.86,633
2024-05-01,1920.97,243.59,628
2024-06-01,1892.72,254.88,616
2024-07-01,1977.79,264.38,618
2024-08-01,1828.62,252.86,574
2024-09-01,1793.55,266.85,574
2024-10-01,1741.24,252.57,572
2024-11-01,1821.66,259.55,589
2024-12-01,1923.12,261.77,596
2025-01-01,1985.73,252.06,644
2025-02-01,2076.76,279.8,657
2025-03-01,2150.87,267.96,661
2025-04-01,2233.78,277.69,677
2025-05-01,2203.15,287.21,694
2025-06-01,2162.9,289.2,694
2025-07-01,2087.4,294.98,696
2025-08-01,2127.74,286.02,695
2025-09-01,2092.15,283.65,659
2025-10-01,2062.03,291.3,643
2025-11-01,2099.71,269.69,640
2025-12-01,2137.33,275.79,688
